,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額,%
歸屬於母公司業主之權益合計,614617.0,84.04,615969.0,83.66,888393.0,87.58,891619.0,86.96,892856.0,87.31,894513.0,86.73,877009.0,86.52,869002.0,87.46,857739.0,85.79,851881.0,87.09,829855.0,71.03,794412.0,70.49,780916.0,69.93,778883.0,70.81,781379.0,71.2
母公司暨子公司所持有之母公司庫藏股股數（單位：股）,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,975000.0,,1382000.0,,1382000.0,,1382000.0,
流動負債合計,36632.0,5.01,41721.0,5.67,48909.0,4.82,58034.0,5.66,55605.0,5.44,63713.0,6.18,65056.0,6.42,53016.0,5.34,72023.0,7.2,57762.0,5.9,63343.0,5.42,58589.0,5.2,62903.0,5.63,92681.0,8.43,87676.0,7.99
流動資產合計,556531.0,76.1,559606.0,76.0,788212.0,77.7,764895.0,74.6,731298.0,71.51,694666.0,67.36,658086.0,64.92,635272.0,63.93,618568.0,61.87,530721.0,54.25,702538.0,60.14,648540.0,57.54,622916.0,55.78,578042.0,52.55,574014.0,52.31
無形資產,696.0,0.1,959.0,0.13,849.0,0.08,740.0,0.07,630.0,0.06,1972.0,0.19,2877.0,0.28,2689.0,0.27,2711.0,0.27,2523.0,0.26,3004.0,0.26,2734.0,0.24,4342.0,0.39,4568.0,0.42,4180.0,0.38
特別股股本,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
特別股轉換普通股權利證書,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
現金及約當現金,67792.0,9.27,77454.0,10.52,308916.0,30.45,60666.0,5.92,58321.0,5.7,57719.0,5.6,45393.0,4.48,48471.0,4.88,92532.0,9.25,104460.0,10.68,292648.0,25.05,150155.0,13.32,122351.0,10.96,101743.0,9.25,96634.0,8.81
股本合計,622940.0,85.18,622940.0,84.6,700840.0,69.09,700840.0,68.35,702190.0,68.67,703490.0,68.21,703990.0,69.45,706160.0,71.07,708470.0,70.86,708470.0,72.42,708470.0,60.64,708470.0,62.86,708470.0,63.44,708470.0,64.41,708470.0,64.56
負債及權益總計,,,,,,,,,,,,,,,993651.0,100.0,999867.0,100.0,978213.0,100.0,1168240.0,100.0,1127047.0,100.0,1116686.0,100.0,1099900.0,100.0,1097414.0,100.0
負債總計,,,,,,,,,,,,,,,124649.0,12.54,142128.0,14.21,126332.0,12.91,338385.0,28.97,332635.0,29.51,335770.0,30.07,321017.0,29.19,316035.0,28.8
負債總額,116717.0,15.96,120333.0,16.34,126040.0,12.42,133693.0,13.04,129769.0,12.69,136823.0,13.27,136654.0,13.48,,,,,,,,,,,,,,,,
資本公積合計,133198.0,18.21,133977.0,18.2,326454.0,32.18,327183.0,31.91,189814.0,18.56,191262.0,18.55,192013.0,18.94,194872.0,19.61,177558.0,17.76,177558.0,18.15,184359.0,15.78,184359.0,16.36,120996.0,10.84,120996.0,11.0,120996.0,11.03
資本公積－員工認股權,3237.0,0.44,4016.0,0.55,4742.0,0.47,5471.0,0.53,5458.0,0.53,5135.0,0.5,5205.0,0.51,3854.0,0.39,1660.0,0.17,1660.0,0.17,1660.0,0.14,1660.0,0.15,1660.0,0.15,1660.0,0.15,1660.0,0.15
資本公積－發行溢價,129961.0,17.77,129961.0,17.65,321712.0,31.71,321712.0,31.38,184356.0,18.03,186127.0,18.05,186808.0,18.43,191018.0,19.22,175898.0,17.59,175898.0,17.98,175898.0,15.06,175898.0,15.61,112535.0,10.08,112535.0,10.23,112535.0,10.25
資本公積－認股權,,,,,,,,,,,,,,,,,,,,,6801.0,0.58,6801.0,0.6,6801.0,0.61,6801.0,0.62,6801.0,0.62
資產總計,,,,,,,,,,,,,,,993651.0,100.0,999867.0,100.0,978213.0,100.0,1168240.0,100.0,1127047.0,100.0,1116686.0,100.0,1099900.0,100.0,1097414.0,100.0
資產總額,731334.0,100.0,736302.0,100.0,1014433.0,100.0,1025312.0,100.0,1022625.0,100.0,1031336.0,100.0,1013663.0,100.0,,,,,,,,,,,,,,,,
透過損益按公允價值衡量之金融資產－流動,32988.0,4.51,32816.0,4.46,37889.0,3.73,38344.0,3.74,39090.0,3.82,38406.0,3.72,37982.0,3.75,88609.0,8.92,80192.0,8.02,86932.0,8.89,94194.0,8.06,103023.0,9.14,83020.0,7.43,56749.0,5.16,56460.0,5.14
遞延所得稅資產,3695.0,0.51,3587.0,0.49,3330.0,0.33,2988.0,0.29,3251.0,0.32,3286.0,0.32,3186.0,0.31,2968.0,0.3,2754.0,0.28,2617.0,0.27,2290.0,0.2,2117.0,0.19,2067.0,0.19,2056.0,0.19,2000.0,0.18
長期借款,80000.0,10.94,78527.0,10.67,77046.0,7.59,75574.0,7.37,74079.0,7.24,72575.0,7.04,71063.0,7.01,69528.0,7.0,68000.0,6.8,66465.0,6.79,64874.0,5.55,63314.0,5.62,61721.0,5.53,15274.0,1.39,14877.0,1.36
非控制權益,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0
非流動負債合計,80085.0,10.95,78612.0,10.68,77131.0,7.6,75659.0,7.38,74164.0,7.25,73110.0,7.09,71598.0,7.06,71633.0,7.21,70105.0,7.01,68570.0,7.01,275042.0,23.54,274046.0,24.32,272867.0,24.44,228336.0,20.76,228359.0,20.81
非流動資產合計,174803.0,23.9,176696.0,24.0,226221.0,22.3,260417.0,25.4,291327.0,28.49,336670.0,32.64,355577.0,35.08,358379.0,36.07,381299.0,38.13,447492.0,45.75,465702.0,39.86,478507.0,42.46,493770.0,44.22,521858.0,47.45,523400.0,47.69
預收股本,1880.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,1350.0,0.13,2650.0,0.26,500.0,0.05,1520.0,0.15,100.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
預收股款（權益項下）之約當發行股數（單位：股）,188000.0,,0.0,,0.0,,0.0,,135000.0,,265000.0,,50000.0,,152000.0,,10000.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
