,金額_x,%,金額_y,金額_x.1,金額_y.1,金額_x.2,金額_y.2,金額_x.3,金額_y.3,金額_x.4,金額_y.4,金額_x.5,金額_y.5,金額_x.6,金額_y.6,金額_x.7,金額_y.7
與營業活動相關之負債之淨變動合計,,,88353.0,52775.0,-129886.0,-10433.0,290180.0,326081.0,76572.0,-76101.0,220126.0,430168.0,267535.0,-60227.0,85729.0,104494.0,-30227.0
與營業活動相關之資產之淨變動合計,,,-42521.0,-186966.0,215820.0,-38377.0,-470259.0,-436914.0,-94138.0,-93397.0,-424295.0,-891781.0,-356372.0,-31035.0,-382747.0,-449559.0,75644.0
與營業活動相關之資產及負債之淨變動合計,,,45832.0,-134191.0,85934.0,-48810.0,-180079.0,-110833.0,-17566.0,-169498.0,-204169.0,-461613.0,-88837.0,-91262.0,-297018.0,-345065.0,45417.0
處分不動產、廠房及設備,,,0.0,0.0,1116.0,3041.0,1096.0,3133.0,33998.0,243.0,15104.0,17781.0,355.0,231.0,434.0,475.0,557.0
處分及報廢不動產、廠房及設備損失（利益）,,,1855.0,2472.0,2047.0,783.0,1433.0,4965.0,4304.0,-242.0,42.0,5.0,-52575.0,-193.0,213.0,656.0,7034.0
處分投資損失（利益）,,,-27326.0,-27612.0,-17434.0,-76.0,-313.0,430.0,431.0,-11.0,-1496.0,-242910.0,-258529.0,0.0,0.0,0.0,-3380.0
調整項目合計,,,179753.0,218052.0,490691.0,51801.0,21886.0,216074.0,379454.0,-82835.0,-8593.0,-352199.0,-85803.0,-18789.0,-181505.0,-179241.0,-5736.0
資產負債表帳列之現金及約當現金,,,1421236.0,1726211.0,1638477.0,1408155.0,1382063.0,1183172.0,928230.0,736187.0,657057.0,548352.0,636247.0,502522.0,402943.0,483601.0,613014.0
退還（支付）之所得稅,,,3035.0,-2206.0,-14666.0,-3920.0,-15539.0,-18251.0,-13385.0,1713.0,-472.0,-5513.0,1011.0,592.0,-2685.0,-8562.0,-9276.0
預付款項（增加）減少,,,1350.0,1610.0,-61092.0,-26635.0,-39121.0,-59603.0,-65640.0,-5239.0,-3847.0,-37166.0,-35777.0,728.0,3253.0,18509.0,20817.0
